AL	88.5
AK	110.7
AZ	104.3
AR	88
CA	120.3
CO	112.1
CT	104.8
DE	101.3
FL	96.4
GA	100.3
HI	158
ID	100.3
IL	87.5
IN	90.2
IA	91.7
KS	85.6
KY	88.1
LA	91.1
ME	100
MD	120.1
MA	132.6
MI	88.7
MN	105.4
MI	87.4
MO	86.3
MT	104.2
NE	94.7
NV	103
NH	108.3
NJ	104.3
NM	105.1
NY	100.1
NC	99.7
ND	93.1
OH	93.9
OK	87.3
OR	105.8
PA	95.8
RI	111.5
SC	91.9
SD	92.8
TN	100.1
TX	106.6
UT	105.9
VT	112.8
VA	99.2
WA	110.9
WV	83.9
WI	99.5
WY	96.9
